support_agent_id,agent_name,role
299,Cameron,Streaming Quality Analyst
300,Jordan,Technical Support Specialist
301,Cameron,Language Localization Support
302,Jordan,Network Support Engineer
303,Jamie,User Experience Troubleshooter
304,Avery,Content Delivery Technician
305,Taylor,Streaming Quality Analyst
306,Avery,Technical Support Specialist
307,Cameron,Content Delivery Technician
308,Skyler,Technical Support Specialist
309,Quinn,Technical Support Specialist
310,Riley,Subscription Support Agent
311,Quinn,Language Localization Support
312,Riley,Language Localization Support
313,Cameron,Streaming Quality Analyst
314,Harper,Subscription Support Agent
315,Harper,Device Compatibility Expert
316,Reese,Language Localization Support
317,Riley,Streaming Quality Analyst
318,Avery,User Experience Troubleshooter
319,Quinn,User Experience Troubleshooter
320,Parker,Device Compatibility Expert
321,Taylor,Billing Support Representative
322,Taylor,Subscription Support Agent
323,Riley,Account Recovery Agent
324,Quinn,Streaming Quality Analyst
325,Jordan,Device Compatibility Expert
326,Alex,Subscription Support Agent
327,Alex,User Experience Troubleshooter
328,Jamie,Device Compatibility Expert
329,Jordan,Content Delivery Technician
330,Taylor,Streaming Quality Analyst
331,Riley,Streaming Quality Analyst
332,Parker,Content Delivery Technician
333,Quinn,Technical Support Specialist
334,Reese,Network Support Engineer
335,Drew,Billing Support Representative
336,Riley,Subscription Support Agent
337,Harper,Account Recovery Agent
338,Skyler,Technical Support Specialist
339,Parker,Device Compatibility Expert
340,Casey,Subscription Support Agent
341,Skyler,Subscription Support Agent
342,Harper,Device Compatibility Expert
343,Riley,User Experience Troubleshooter
344,Avery,User Experience Troubleshooter
345,Drew,User Experience Troubleshooter
346,Alex,Technical Support Specialist
347,Jamie,Network Support Engineer
348,Reese,Content Delivery Technician
349,Casey,Content Delivery Technician
350,Morgan,Network Support Engineer
351,Taylor,Network Support Engineer
352,Riley,Network Support Engineer
353,Jamie,Network Support Engineer
354,Morgan,Account Recovery Agent
355,Jordan,Network Support Engineer
356,Skyler,Technical Support Specialist
357,Morgan,Language Localization Support
358,Morgan,Account Recovery Agent
359,Morgan,User Experience Troubleshooter
360,Jordan,Network Support Engineer
361,Casey,Technical Support Specialist
362,Taylor,Billing Support Representative
363,Jamie,Content Delivery Technician
364,Jordan,Network Support Engineer
365,Riley,Technical Support Specialist
366,Cameron,Device Compatibility Expert
367,Drew,Network Support Engineer
368,Cameron,Device Compatibility Expert
369,Riley,Network Support Engineer
370,Quinn,Network Support Engineer
371,Drew,Billing Support Representative
372,Avery,Content Delivery Technician
373,Reese,User Experience Troubleshooter
374,Skyler,User Experience Troubleshooter
375,Alex,Billing Support Representative
376,Alex,Network Support Engineer
377,Taylor,Device Compatibility Expert
378,Drew,User Experience Troubleshooter
379,Alex,Technical Support Specialist
380,Skyler,Streaming Quality Analyst
381,Parker,Language Localization Support
382,Alex,Account Recovery Agent
383,Quinn,Network Support Engineer
384,Parker,Network Support Engineer
385,Drew,Device Compatibility Expert
386,Alex,Content Delivery Technician
387,Taylor,Device Compatibility Expert
388,Quinn,Language Localization Support
389,Casey,Technical Support Specialist
390,Skyler,Device Compatibility Expert
391,Jordan,Network Support Engineer
392,Parker,Language Localization Support
393,Harper,Network Support Engineer
394,Reese,Device Compatibility Expert
395,Jamie,Device Compatibility Expert
396,Avery,Subscription Support Agent
397,Morgan,Device Compatibility Expert
398,Casey,Streaming Quality Analyst
399,Parker,Account Recovery Agent
400,Casey,Account Recovery Agent
401,Jamie,Network Support Engineer
402,Riley,Billing Support Representative
403,Quinn,Billing Support Representative
404,Casey,Subscription Support Agent
405,Harper,Content Delivery Technician
406,Alex,Network Support Engineer
407,Morgan,Account Recovery Agent
408,Drew,User Experience Troubleshooter
409,Jordan,Network Support Engineer
410,Avery,Network Support Engineer
411,Harper,User Experience Troubleshooter
412,Avery,Account Recovery Agent
413,Parker,Device Compatibility Expert
414,Drew,Account Recovery Agent
415,Quinn,User Experience Troubleshooter
416,Cameron,Account Recovery Agent
417,Cameron,Billing Support Representative
418,Alex,Device Compatibility Expert
419,Riley,Subscription Support Agent
420,Jamie,Account Recovery Agent
421,Drew,Streaming Quality Analyst
422,Riley,Streaming Quality Analyst
423,Reese,Device Compatibility Expert
424,Riley,User Experience Troubleshooter
425,Riley,Device Compatibility Expert
426,Morgan,Device Compatibility Expert
427,Skyler,Device Compatibility Expert
428,Quinn,Subscription Support Agent
429,Jamie,Language Localization Support
430,Drew,Streaming Quality Analyst
431,Morgan,Account Recovery Agent
432,Taylor,Device Compatibility Expert
433,Drew,Streaming Quality Analyst
434,Cameron,Billing Support Representative
435,Riley,Streaming Quality Analyst
436,Alex,Billing Support Representative
437,Parker,Network Support Engineer
438,Casey,Streaming Quality Analyst
439,Taylor,Streaming Quality Analyst
440,Riley,Language Localization Support
441,Drew,Billing Support Representative
442,Reese,Billing Support Representative
443,Jordan,Billing Support Representative
444,Riley,Billing Support Representative
445,Avery,Streaming Quality Analyst
446,Harper,Content Delivery Technician
447,Cameron,User Experience Troubleshooter
448,Skyler,Language Localization Support
449,Skyler,Billing Support Representative
450,Jordan,Billing Support Representative
451,Harper,Technical Support Specialist
452,Quinn,Subscription Support Agent
453,Cameron,Network Support Engineer
454,Alex,Account Recovery Agent
455,Quinn,Language Localization Support
456,Morgan,Billing Support Representative
457,Harper,Streaming Quality Analyst
458,Reese,User Experience Troubleshooter
459,Cameron,Technical Support Specialist
460,Avery,Language Localization Support
461,Morgan,Streaming Quality Analyst
462,Harper,Language Localization Support
463,Riley,Technical Support Specialist
464,Morgan,Device Compatibility Expert
465,Taylor,Network Support Engineer
466,Avery,Content Delivery Technician
467,Harper,Device Compatibility Expert
468,Riley,Technical Support Specialist
469,Casey,Account Recovery Agent
470,Jamie,Language Localization Support
471,Avery,Billing Support Representative
472,Jamie,Language Localization Support
473,Drew,Network Support Engineer
474,Reese,Account Recovery Agent
475,Cameron,Language Localization Support
476,Avery,Network Support Engineer
477,Skyler,Technical Support Specialist
478,Alex,Content Delivery Technician
479,Jamie,Streaming Quality Analyst
480,Skyler,Device Compatibility Expert
481,Jordan,User Experience Troubleshooter
482,Cameron,Language Localization Support
483,Skyler,Technical Support Specialist
484,Casey,Billing Support Representative
485,Parker,Account Recovery Agent
486,Alex,Account Recovery Agent
487,Jordan,Technical Support Specialist
488,Drew,Technical Support Specialist
489,Jordan,Account Recovery Agent
490,Skyler,Billing Support Representative
491,Cameron,Network Support Engineer
492,Avery,Technical Support Specialist
493,Riley,Technical Support Specialist
494,Riley,Streaming Quality Analyst
495,Quinn,Technical Support Specialist
496,Reese,User Experience Troubleshooter
497,Harper,Subscription Support Agent
498,Parker,Billing Support Representative
499,Casey,User Experience Troubleshooter
500,Harper,Account Recovery Agent
501,Jordan,Account Recovery Agent
502,Alex,Account Recovery Agent
503,Avery,Subscription Support Agent
504,Drew,Device Compatibility Expert
505,Casey,Network Support Engineer
506,Skyler,Subscription Support Agent
507,Casey,Device Compatibility Expert
508,Harper,Subscription Support Agent
509,Avery,Streaming Quality Analyst
510,Jordan,Technical Support Specialist
511,Morgan,User Experience Troubleshooter
512,Riley,User Experience Troubleshooter
513,Cameron,Language Localization Support
514,Harper,User Experience Troubleshooter
515,Jamie,Language Localization Support
516,Taylor,Technical Support Specialist
517,Jamie,Account Recovery Agent
518,Jamie,User Experience Troubleshooter
519,Riley,Content Delivery Technician
520,Quinn,Subscription Support Agent
521,Morgan,User Experience Troubleshooter
522,Casey,Streaming Quality Analyst
523,Taylor,Account Recovery Agent
524,Morgan,Content Delivery Technician
525,Taylor,Technical Support Specialist
526,Parker,Subscription Support Agent
527,Parker,Technical Support Specialist
528,Casey,Technical Support Specialist
529,Avery,Streaming Quality Analyst
530,Quinn,Content Delivery Technician
531,Harper,Language Localization Support
532,Morgan,Network Support Engineer
533,Jordan,Content Delivery Technician
534,Avery,Network Support Engineer
535,Alex,Content Delivery Technician
536,Avery,Streaming Quality Analyst
537,Alex,Account Recovery Agent
538,Parker,Subscription Support Agent
539,Quinn,Language Localization Support
540,Harper,User Experience Troubleshooter
541,Jamie,Subscription Support Agent
542,Jamie,Streaming Quality Analyst
543,Jamie,Device Compatibility Expert
544,Avery,Network Support Engineer
545,Riley,Subscription Support Agent
546,Taylor,Content Delivery Technician
547,Harper,Language Localization Support
548,Casey,Streaming Quality Analyst
549,Quinn,Streaming Quality Analyst
550,Alex,Account Recovery Agent
551,Riley,Network Support Engineer
552,Parker,Account Recovery Agent
553,Quinn,User Experience Troubleshooter
554,Jordan,Billing Support Representative
555,Alex,Account Recovery Agent
556,Casey,Content Delivery Technician
557,Taylor,Network Support Engineer
558,Casey,Technical Support Specialist
559,Jamie,Technical Support Specialist
560,Casey,Device Compatibility Expert
561,Alex,User Experience Troubleshooter
562,Alex,Content Delivery Technician
563,Jamie,User Experience Troubleshooter
564,Casey,Content Delivery Technician
565,Cameron,Subscription Support Agent
566,Cameron,Billing Support Representative
567,Reese,Account Recovery Agent
568,Skyler,User Experience Troubleshooter
569,Parker,Subscription Support Agent
570,Casey,Content Delivery Technician
571,Jordan,Technical Support Specialist
572,Reese,Technical Support Specialist
573,Harper,Technical Support Specialist
574,Parker,Network Support Engineer
575,Drew,Subscription Support Agent
576,Parker,Device Compatibility Expert
577,Jamie,Network Support Engineer
578,Skyler,Network Support Engineer
579,Parker,Subscription Support Agent
580,Casey,Content Delivery Technician
581,Skyler,Subscription Support Agent
582,Drew,Language Localization Support
583,Drew,Language Localization Support
584,Harper,Network Support Engineer
585,Cameron,User Experience Troubleshooter
586,Skyler,Device Compatibility Expert
587,Harper,Billing Support Representative
588,Skyler,User Experience Troubleshooter
589,Alex,Device Compatibility Expert
590,Alex,Language Localization Support
591,Taylor,Network Support Engineer
592,Jamie,Account Recovery Agent
593,Morgan,User Experience Troubleshooter
594,Riley,Subscription Support Agent
595,Parker,Account Recovery Agent
596,Alex,Subscription Support Agent
597,Jordan,Technical Support Specialist
598,Quinn,Technical Support Specialist
599,Skyler,Content Delivery Technician
600,Skyler,Technical Support Specialist
601,Casey,Subscription Support Agent
602,Alex,Network Support Engineer
603,Casey,Language Localization Support
604,Skyler,Technical Support Specialist
605,Alex,Device Compatibility Expert
606,Alex,Content Delivery Technician
607,Alex,Language Localization Support
608,Harper,Content Delivery Technician
609,Parker,Streaming Quality Analyst
610,Jamie,Device Compatibility Expert
611,Drew,Billing Support Representative
612,Reese,Language Localization Support
613,Morgan,Technical Support Specialist
614,Jamie,Account Recovery Agent
615,Reese,Network Support Engineer
616,Alex,Network Support Engineer
617,Taylor,Device Compatibility Expert
618,Jamie,Network Support Engineer
619,Taylor,Content Delivery Technician
620,Harper,Billing Support Representative
621,Alex,Language Localization Support
622,Cameron,Content Delivery Technician
623,Parker,Language Localization Support
624,Alex,Account Recovery Agent
625,Parker,User Experience Troubleshooter
626,Casey,Account Recovery Agent
627,Taylor,Billing Support Representative
628,Morgan,Content Delivery Technician
629,Morgan,Technical Support Specialist
630,Drew,Billing Support Representative
631,Avery,User Experience Troubleshooter
632,Jordan,Subscription Support Agent
633,Skyler,User Experience Troubleshooter
634,Skyler,Streaming Quality Analyst
635,Casey,Account Recovery Agent
636,Jordan,Streaming Quality Analyst
637,Reese,Billing Support Representative
638,Parker,Technical Support Specialist
639,Skyler,Subscription Support Agent
640,Casey,Language Localization Support
641,Parker,Billing Support Representative
642,Morgan,Network Support Engineer
643,Jordan,Device Compatibility Expert
644,Morgan,Subscription Support Agent
645,Taylor,Content Delivery Technician
646,Jamie,Subscription Support Agent
647,Cameron,Language Localization Support
648,Parker,Technical Support Specialist
649,Jordan,Streaming Quality Analyst
650,Jordan,Content Delivery Technician
651,Parker,Billing Support Representative
652,Cameron,Language Localization Support
653,Skyler,Language Localization Support
654,Casey,Language Localization Support
655,Alex,Content Delivery Technician
656,Quinn,Subscription Support Agent
657,Taylor,Streaming Quality Analyst
658,Morgan,Billing Support Representative
659,Harper,Streaming Quality Analyst
660,Morgan,Language Localization Support
661,Jamie,Device Compatibility Expert
662,Casey,Billing Support Representative
663,Casey,Billing Support Representative
664,Jamie,Content Delivery Technician
665,Jamie,Streaming Quality Analyst
666,Parker,User Experience Troubleshooter
667,Riley,Content Delivery Technician
668,Taylor,Language Localization Support
669,Skyler,Subscription Support Agent
670,Morgan,Subscription Support Agent
671,Avery,Subscription Support Agent
672,Cameron,User Experience Troubleshooter
673,Harper,Device Compatibility Expert
674,Avery,Language Localization Support
675,Harper,Content Delivery Technician
676,Parker,Account Recovery Agent
677,Alex,Language Localization Support
678,Avery,Subscription Support Agent
679,Alex,Content Delivery Technician
680,Morgan,Subscription Support Agent
681,Jamie,User Experience Troubleshooter
682,Cameron,Language Localization Support
683,Skyler,Account Recovery Agent
684,Parker,Device Compatibility Expert
685,Alex,Device Compatibility Expert
686,Taylor,Billing Support Representative
687,Casey,Network Support Engineer
688,Casey,Content Delivery Technician
689,Quinn,Technical Support Specialist
690,Harper,Account Recovery Agent
691,Cameron,Device Compatibility Expert
692,Jamie,Device Compatibility Expert
693,Parker,User Experience Troubleshooter
694,Avery,Content Delivery Technician
695,Riley,Content Delivery Technician
696,Parker,User Experience Troubleshooter
697,Cameron,Technical Support Specialist
698,Cameron,Network Support Engineer
699,Skyler,Account Recovery Agent
700,Reese,Network Support Engineer
701,Riley,Language Localization Support
702,Riley,Account Recovery Agent
703,Casey,Account Recovery Agent
704,Jamie,Network Support Engineer
705,Jamie,Network Support Engineer
706,Jordan,User Experience Troubleshooter
707,Morgan,Network Support Engineer
708,Skyler,Network Support Engineer
709,Morgan,Device Compatibility Expert
710,Skyler,Account Recovery Agent
711,Drew,User Experience Troubleshooter
712,Harper,Subscription Support Agent
713,Avery,User Experience Troubleshooter
714,Casey,Account Recovery Agent
715,Taylor,Technical Support Specialist
716,Alex,Account Recovery Agent
717,Jamie,Network Support Engineer
718,Jamie,Language Localization Support
719,Parker,Account Recovery Agent
720,Riley,Billing Support Representative
721,Jordan,Network Support Engineer
722,Parker,Account Recovery Agent
723,Parker,Language Localization Support
724,Casey,Billing Support Representative
725,Quinn,Content Delivery Technician
726,Avery,Billing Support Representative
727,Drew,Subscription Support Agent
728,Morgan,Device Compatibility Expert
729,Jamie,Device Compatibility Expert
730,Casey,Content Delivery Technician
731,Avery,Content Delivery Technician
732,Alex,User Experience Troubleshooter
733,Morgan,Device Compatibility Expert
734,Jamie,Subscription Support Agent
735,Drew,Content Delivery Technician
736,Reese,Content Delivery Technician
737,Casey,Device Compatibility Expert
738,Parker,Network Support Engineer
739,Morgan,Network Support Engineer
740,Riley,Subscription Support Agent
741,Avery,Billing Support Representative
742,Alex,Technical Support Specialist
743,Reese,Subscription Support Agent
744,Jamie,User Experience Troubleshooter
745,Jamie,Subscription Support Agent
746,Jordan,Streaming Quality Analyst
747,Cameron,Language Localization Support
748,Taylor,Device Compatibility Expert
749,Riley,Content Delivery Technician
750,Skyler,Billing Support Representative
751,Reese,Account Recovery Agent
752,Quinn,Network Support Engineer
753,Alex,Language Localization Support
754,Alex,Device Compatibility Expert
755,Jamie,Language Localization Support
756,Jamie,User Experience Troubleshooter
757,Casey,Streaming Quality Analyst
758,Cameron,Subscription Support Agent
759,Quinn,Streaming Quality Analyst
760,Cameron,Technical Support Specialist
761,Morgan,Device Compatibility Expert
762,Drew,Language Localization Support
763,Skyler,Account Recovery Agent
764,Cameron,Streaming Quality Analyst
765,Parker,Subscription Support Agent
766,Cameron,Subscription Support Agent
767,Taylor,Content Delivery Technician
768,Avery,Language Localization Support
769,Avery,Network Support Engineer
770,Skyler,User Experience Troubleshooter
771,Casey,Account Recovery Agent
772,Quinn,Subscription Support Agent
773,Alex,Account Recovery Agent
774,Reese,Network Support Engineer
775,Cameron,Device Compatibility Expert
776,Jordan,Network Support Engineer
777,Harper,Device Compatibility Expert
778,Harper,Language Localization Support
779,Skyler,Language Localization Support
780,Avery,Billing Support Representative
781,Quinn,Technical Support Specialist
782,Avery,Subscription Support Agent
783,Skyler,Account Recovery Agent
784,Taylor,User Experience Troubleshooter
785,Parker,Account Recovery Agent
786,Jordan,Subscription Support Agent
787,Cameron,User Experience Troubleshooter
788,Avery,User Experience Troubleshooter
789,Drew,Device Compatibility Expert
790,Alex,Account Recovery Agent
791,Drew,Network Support Engineer
792,Cameron,Streaming Quality Analyst
793,Alex,Technical Support Specialist
794,Alex,Technical Support Specialist
795,Jordan,Account Recovery Agent
796,Avery,User Experience Troubleshooter
797,Quinn,Content Delivery Technician
798,Harper,Content Delivery Technician
799,Jamie,Billing Support Representative
800,Jordan,Billing Support Representative
801,Casey,Device Compatibility Expert
802,Morgan,Streaming Quality Analyst
803,Taylor,Billing Support Representative
804,Jamie,Content Delivery Technician
805,Taylor,Subscription Support Agent
806,Riley,Language Localization Support
807,Harper,Streaming Quality Analyst
808,Casey,Billing Support Representative
809,Avery,User Experience Troubleshooter
810,Alex,Subscription Support Agent
811,Riley,Language Localization Support
812,Reese,Content Delivery Technician
813,Taylor,Streaming Quality Analyst
814,Reese,Subscription Support Agent
815,Casey,Network Support Engineer
816,Avery,Billing Support Representative
817,Skyler,Device Compatibility Expert
818,Skyler,Device Compatibility Expert
819,Taylor,Subscription Support Agent
820,Casey,Billing Support Representative
821,Reese,Device Compatibility Expert
822,Parker,Content Delivery Technician
823,Harper,Language Localization Support
824,Taylor,Subscription Support Agent
825,Parker,User Experience Troubleshooter
826,Morgan,Account Recovery Agent
827,Avery,Technical Support Specialist
828,Jamie,Network Support Engineer
829,Morgan,Network Support Engineer
830,Drew,Network Support Engineer
831,Parker,Content Delivery Technician
832,Riley,Streaming Quality Analyst
833,Cameron,Technical Support Specialist
834,Riley,Content Delivery Technician
835,Quinn,Account Recovery Agent
836,Jamie,User Experience Troubleshooter
837,Cameron,Streaming Quality Analyst
838,Parker,Content Delivery Technician
839,Jordan,Network Support Engineer
840,Alex,Technical Support Specialist
841,Alex,Content Delivery Technician
842,Parker,Language Localization Support
843,Alex,Language Localization Support
844,Riley,Content Delivery Technician
845,Avery,Streaming Quality Analyst
846,Jamie,Billing Support Representative
847,Reese,Network Support Engineer
